Retrospective,Naive Bayes,Decision Tree,Logistic Regression,Random Forest,K-Nearest Neighbors,Neural Network
440,0.5815402038505096,0.8946772366930917,0.5566251415628539,0.9411098527746319,0.8018120045300113,0.8086070215175538
450,0.5875354107648725,0.888385269121813,0.5677053824362607,0.9393767705382436,0.7892351274787536,0.7830028328611898
460,0.576530612244898,0.9109977324263039,0.5527210884353742,0.9455782312925171,0.7959183673469388,0.8117913832199547
470,0.5902383654937571,0.9052213393870602,0.5743473325766175,0.9517593643586834,0.7968217934165721,0.818955732122588
480,0.5783200908059024,0.9091940976163451,0.5607264472190693,0.9426787741203179,0.7939841089670828,0.7769580022701476
490,0.5767045454545454,0.8954545454545455,0.5818181818181818,0.9375,0.8017045454545455,0.8164772727272728
500,0.5713473564525299,0.8965321205230244,0.5992040932347925,0.93121091529278,0.7959067652075043,0.7993177942012507
510,0.5771200910643142,0.8890153671030165,0.5759817871371656,0.9430848036425725,0.8002276607854297,0.8076266363118952
520,0.5791571753986332,0.8969248291571754,0.5740318906605922,0.9379271070615034,0.8120728929384966,0.8183371298405467
530,0.5891737891737892,0.9150997150997151,0.5743589743589743,0.9475783475783476,0.8256410256410256,0.8404558404558404
540,0.5961209355390759,0.894466628636623,0.5704506560182544,0.9480889903023388,0.8180262407301768,0.8197375926982317
550,0.5939463163906339,0.9069103369503141,0.5579668760708166,0.9520274129069103,0.8172472872644203,0.8309537407195888
560,0.5857142857142857,0.9154285714285715,0.5611428571428572,0.952,0.8034285714285714,0.8211428571428572
570,0.6032018296169239,0.9113779302458548,0.5586049170954831,0.9599771297884505,0.8090337335620355,0.8124642652944539
580,0.614768174012593,0.9026903262736119,0.5661133371493989,0.9439038351459645,0.8179736691471093,0.8122495706926159
590,0.6,0.8957020057306591,0.5575931232091691,0.954727793696275,0.8263610315186246,0.8424068767908309
