Method,Retrospective,Dataset,Accuracy,Recall,Precision,F-Score
K-Nearest Neighbors,60,Test,0.7786407766990291,0.7526501766784452,0.8287937743190662,0.7888888888888889
Neural Network,60,Train,0.8363283147158815,0.8495821727019499,0.8394495412844036,0.8444854637748038
Neural Network,60,Test,0.7087378640776699,0.7420494699646644,0.7317073170731707,0.7368421052631579
Naive Bayes,70,Train,0.5604662457503643,0.8859964093357271,0.5592067988668555,0.6856547412295936
Naive Bayes,70,Test,0.570873786407767,0.8916083916083916,0.5730337078651685,0.6976744186046512
Decision Tree,70,Train,0.8858669256920836,0.9102333931777379,0.8825065274151436,0.896155545735749
Decision Tree,70,Test,0.7980582524271844,0.8321678321678322,0.8095238095238095,0.8206896551724138
Logistic Regression,70,Train,0.5798931520155415,0.7172351885098743,0.5922905856189771,0.6488022736500203
Logistic Regression,70,Test,0.5883495145631068,0.7412587412587412,0.6057142857142858,0.6666666666666666
Random Forest,70,Train,0.8212724623603691,0.9829443447037702,0.7583102493074793,0.856137607505864
Random Forest,70,Test,0.7766990291262136,0.965034965034965,0.7244094488188977,0.8275862068965517
K-Nearest Neighbors,70,Train,0.9169499757163672,0.9183123877917415,0.927470534904805,0.9228687415426252
K-Nearest Neighbors,70,Test,0.7747572815533981,0.7657342657342657,0.8171641791044776,0.7906137184115524
Neural Network,70,Train,0.868382710053424,0.8689407540394973,0.8856358645928637,0.877208880833711
Neural Network,70,Test,0.7922330097087379,0.8006993006993007,0.8207885304659498,0.8106194690265487
Naive Bayes,80,Train,0.5409356725146199,0.8762511373976342,0.5443753533069531,0.6715481171548117
Naive Bayes,80,Test,0.5486381322957199,0.8695652173913043,0.5504587155963303,0.6741573033707865
Decision Tree,80,Train,0.8508771929824561,0.9035486806187443,0.8323554065381391,0.8664921465968587
Decision Tree,80,Test,0.7801556420233463,0.8260869565217391,0.7781569965870307,0.8014059753954306
Logistic Regression,80,Train,0.5891812865497076,0.6869881710646042,0.60207336523126,0.6417339566510837
Logistic Regression,80,Test,0.5778210116731517,0.7101449275362319,0.5885885885885885,0.6436781609195402
Random Forest,80,Train,0.8352826510721247,0.9736123748862603,0.7759245830311821,0.8635996771589992
Random Forest,80,Test,0.7937743190661478,0.9384057971014492,0.7442528735632183,0.8301282051282052
K-Nearest Neighbors,80,Train,0.9117933723196882,0.9199272065514104,0.9157608695652174,0.9178393100317749
K-Nearest Neighbors,80,Test,0.7879377431906615,0.7934782608695652,0.8081180811808119,0.8007312614259597
Neural Network,80,Train,0.8596491228070176,0.9090081892629663,0.8416175231676495,0.8740157480314961
Neural Network,80,Test,0.8132295719844358,0.8768115942028986,0.7960526315789473,0.8344827586206897
Naive Bayes,90,Train,0.5571847507331378,0.8947841726618705,0.5577354260089686,0.6871546961325967
Naive Bayes,90,Test,0.55078125,0.8591549295774648,0.5622119815668203,0.6796657381615598
Decision Tree,90,Train,0.8543499511241447,0.9820143884892086,0.7970802919708029,0.8799355358581789
Decision Tree,90,Test,0.734375,0.8802816901408451,0.7102272727272727,0.7861635220125787
Logistic Regression,90,Train,0.5894428152492669,0.7778776978417267,0.593278463648834,0.6731517509727627
Logistic Regression,90,Test,0.56640625,0.7570422535211268,0.5842391304347826,0.6595092024539877
Random Forest,90,Train,0.8597262952101662,0.9838129496402878,0.8026412325752018,0.8840404040404041
Random Forest,90,Test,0.783203125,0.9330985915492958,0.742296918767507,0.8268330733229329
K-Nearest Neighbors,90,Train,0.9051808406647116,0.9172661870503597,0.9090909090909091,0.9131602506714414
K-Nearest Neighbors,90,Test,0.7734375,0.8028169014084507,0.7916666666666666,0.7972027972027972
Neural Network,90,Train,0.8641251221896383,0.8929856115107914,0.8619791666666666,0.877208480565371
Neural Network,90,Test,0.78515625,0.8450704225352113,0.7843137254901961,0.8135593220338984
Naive Bayes,100,Train,0.5628066732090284,0.8964896489648965,0.5620767494356659,0.6909469302809573
Naive Bayes,100,Test,0.5333333333333333,0.8698884758364313,0.5354691075514875,0.6628895184135978
Decision Tree,100,Train,0.8758586849852796,0.9450945094509451,0.8454106280193237,0.8924776880577986
Decision Tree,100,Test,0.7647058823529411,0.8698884758364313,0.7335423197492164,0.7959183673469388
Logistic Regression,100,Train,0.584396467124632,0.8334833483348335,0.5831234256926953,0.6861800666913672
Logistic Regression,100,Test,0.5901960784313726,0.8327137546468402,0.5773195876288659,0.6818873668188736
Random Forest,100,Train,0.8282630029440629,0.9837983798379838,0.7670175438596492,0.86198738170347
Random Forest,100,Test,0.7627450980392156,0.9553903345724907,0.7021857923497268,0.8094488188976378
K-Nearest Neighbors,100,Train,0.8935230618253189,0.9126912691269127,0.8941798941798942,0.9033407572383073
K-Nearest Neighbors,100,Test,0.792156862745098,0.8066914498141264,0.8007380073800738,0.8037037037037037
Neural Network,100,Train,0.8611383709519136,0.9045904590459046,0.850253807106599,0.8765808983863934
Neural Network,100,Test,0.7862745098039216,0.828996282527881,0.7797202797202797,0.8036036036036036
Naive Bayes,110,Train,0.5555009823182712,0.8897922312556459,0.5571266968325792,0.6852173913043478
Naive Bayes,110,Test,0.5638506876227898,0.8838028169014085,0.5704545454545454,0.6933701657458563
Decision Tree,110,Train,0.93762278978389,0.928635953026197,0.9553903345724907,0.9418231791113147
Decision Tree,110,Test,0.8271119842829077,0.823943661971831,0.8602941176470589,0.841726618705036
Logistic Regression,110,Train,0.5923379174852652,0.7705510388437218,0.5969209237228832,0.6727129337539433
Logistic Regression,110,Test,0.5717092337917485,0.7253521126760564,0.5953757225433526,0.653968253968254
Random Forest,110,Train,0.8791748526522594,0.979223125564589,0.8293802601377199,0.8980944490472246
Random Forest,110,Test,0.8447937131630648,0.954225352112676,0.8041543026706232,0.8727858293075684
K-Nearest Neighbors,110,Train,0.9150294695481336,0.9232158988256549,0.9207207207207208,0.9219666215606676
K-Nearest Neighbors,110,Test,0.7721021611001965,0.7887323943661971,0.8,0.7943262411347518
Neural Network,110,Train,0.8511787819253438,0.8428184281842819,0.8785310734463276,0.8603042876901799
Neural Network,110,Test,0.7721021611001965,0.7605633802816901,0.8181818181818182,0.7883211678832117
Naive Bayes,120,Train,0.568058968058968,0.8796791443850267,0.5701906412478336,0.6919032597266036
Naive Bayes,120,Test,0.5658153241650294,0.8736842105263158,0.5737327188940092,0.6926286509040334
Decision Tree,120,Train,0.8496314496314497,0.8297682709447415,0.890057361376673,0.8588560885608856
Decision Tree,120,Test,0.7956777996070727,0.7824561403508772,0.8415094339622642,0.8109090909090909
Logistic Regression,120,Train,0.5980343980343981,0.8021390374331551,0.6016042780748663,0.6875477463712758
Logistic Regression,120,Test,0.5795677799607073,0.7929824561403509,0.5931758530183727,0.6786786786786787
Random Forest,120,Train,0.8496314496314497,0.9866310160427807,0.7918454935622318,0.8785714285714286
Random Forest,120,Test,0.793713163064833,0.9473684210526315,0.75,0.8372093023255814
K-Nearest Neighbors,120,Train,0.914987714987715,0.9260249554367201,0.9202834366696191,0.9231452687694358
K-Nearest Neighbors,120,Test,0.7603143418467584,0.7824561403508772,0.7879858657243817,0.7852112676056338
Neural Network,120,Train,0.8417690417690418,0.8796791443850267,0.8407155025553663,0.8597560975609756
Neural Network,120,Test,0.8113948919449901,0.8385964912280702,0.8269896193771626,0.8327526132404182
Naive Bayes,130,Train,0.6010821446138711,0.8760757314974182,0.6041543026706232,0.7151387425360028
Naive Bayes,130,Test,0.618860510805501,0.8874172185430463,0.6261682242990654,0.7342465753424657
Decision Tree,130,Train,0.8740777176586325,0.8605851979345955,0.9140767824497258,0.8865248226950354
Decision Tree,130,Test,0.8133595284872298,0.8211920529801324,0.8581314878892734,0.8392554991539763
Logistic Regression,130,Train,0.6237088047220856,0.8898450946643718,0.6187911430281269,0.7299682315566537
Logistic Regression,130,Test,0.6463654223968566,0.9172185430463576,0.6412037037037037,0.7547683923705722
Random Forest,130,Train,0.836694540088539,0.9931153184165232,0.7807848443843031,0.8742424242424243
Random Forest,130,Test,0.793713163064833,0.9635761589403974,0.7558441558441559,0.8471615720524017
K-Nearest Neighbors,130,Train,0.911460895228726,0.9216867469879518,0.9232758620689655,0.9224806201550387
